Company_Name,Long_Term_Beta,Daily_One_Month_Range,Daily_Three_Month_Range,Weekly_One_Year_Range,Weekly_Two_Year_Range,two_Week_Two_Year_Range,Monthly_Two_Year_Range,1_month_return,12_month_return
IDEA,2.04,3.73,2.9,1.91,1.66,1.24,0.71,-7.317074305382857,112.8000030517578
SANGHIIND,1.53,4.33,2.46,1.15,1.15,1.11,1.32,-7.293575181873567,48.82179791004034
RADIOCITY,0.919,4.73,2.58,1.82,0.93,1.25,1.01,-7.286426549680058,62.55506733780689
NIITMTS,0.0,2.36,1.49,0.0,0.0,0.0,0.0,-7.28548268057523,35.465732366467385
SVLL,0.0,1.59,0.36,1.19,0.199,0.0098,0.887,-7.251263562197803,74.60317460317461
WINSOME,0.0,0.637,0.313,0.0,0.0,0.0,0.0,-7.246376711439371,2033.3332803514288
CCL,0.639,1.7,0.669,1.28,1.06,0.788,0.462,-7.215419001156059,2.715281127367627
GANGAFORGE,0.0,1.69,0.199,0.354,1.56,1.36,1.08,-7.207208677851748,171.05263999954826
NDTV,2.45,3.2,1.46,2.68,2.27,2.3,5.54,-7.206658457194575,17.05505918143806
DISHTV,1.21,5.19,2.03,1.1,1.41,1.66,1.15,-7.107837660318967,45.76923663799579
